title,company,location,link
DevOps Engineer,Sytac IT Consulting,"Haarlem, Netherlands",https://stackoverflow.com/jobs/534200/devops-engineer-sytac-it-consulting
"Front-End (Vue.js) Developer, REMOTE",Pentalog,No office location,https://stackoverflow.com/jobs/566583/front-end-vuejs-developer-remote-pentalog
"Full Stack Developer - Python, Postgres, Vue.js / React (m/f/d)",JobNinja GmbH,"München, Deutschland",https://stackoverflow.com/jobs/566788/full-stack-developer-python-postgres-vuejs-jobninja-gmbh
Software Developer Vue.js (m/f/d),shopware AG,"Schöppingen, Deutschland",https://stackoverflow.com/jobs/549078/software-developer-vuejs-m-f-d-shopware-ag
Vue.js Developer (Remote),X-Team,No office location,https://stackoverflow.com/jobs/534462/vuejs-developer-remote-x-team
Senior Frontend Engineer | Vue,Everli,No office location,https://stackoverflow.com/jobs/566063/senior-frontend-engineer-vue-everli
Fullstack Professional with PHP/Symfony 4 & vue.js experience,roadsurfer GmbH,"München, Deutschland",https://stackoverflow.com/jobs/497587/fullstack-professional-with-php-symfony-4-roadsurfer-gmbh
Senior Full Stack Developer - PHP and VueJS (f/m/d),CA Customer Alliance GmbH,No office location,https://stackoverflow.com/jobs/528320/senior-full-stack-developer-php-and-vuejs-f-m-ca-customer-alliance-gmbh
Data Engineer,Sytac IT Consulting,"Amsterdam, Netherlands",https://stackoverflow.com/jobs/431625/data-engineer-sytac-it-consulting
Front-End Developer,Cognitive Space,"Houston, TX",https://stackoverflow.com/jobs/566089/front-end-developer-cognitive-space
Python/Django Developer (m/f/d) - Remote,social sweethearts® GmbH,No office location,https://stackoverflow.com/jobs/566798/python-django-developer-m-f-d-remote-social-sweethearts-gmbh
Python/Django Developer (m/f/d),social sweethearts® GmbH,No office location,https://stackoverflow.com/jobs/566797/python-django-developer-m-f-d-social-sweethearts-gmbh
"Full Stack Software Engineer, Business Integrity",ByteDance,Singapore,https://stackoverflow.com/jobs/553099/full-stack-software-engineer-business-integrity-bytedance
